user_variable,user_description,matched_text,uid,relevance_score,llm_alignment,match
amputation_type,"If amputated, the amputation type for leg, above the knee or below the knee.  ",AMPUTATION OF LOWER EXTREMITY,19693,0.23231015,,
amputation_type,"If amputated, the amputation type for leg, above the knee or below the knee.  ",AMPUTATION,19692,0.1183851,,
cohort_id,"The study subgroup that the participant belongs to. This indicates whether the participant was a postmortem donor, an organ donor, or a surgical donor.  ",DONOR BLOOD GROUP,75719,0.6977119,"['1. DONOR BLOOD GROUP - This existing variable is relevant as it also pertains to information about the donor, specifically their blood group. This could potentially be aligned with the new variable to provide additional donor-related information.', '', ""2. DERIVED DUPLICATE DONOR RECIPIENT (BASED ON DONOR'S STUDY ARM AND RECIPIENT) - This existing variable may not be directly related to the new variable as it focuses on the relationship between the donor and recipient based on study arm. It may not align well with the study subgroup information."", '', '3. SUBJECT RECEIVED A STUDY TRANSPLANT (0=NO, 1=YES) - This existing variable is related to whether the subject received a study transplant or not. While it provides information on the transplant status, it may not directly align with the study subgroup information.', '', 'SELECTED: DONOR BLOOD GROUP', 'ALIGNMENT: To align the new variable ""The study subgroup that the participant belongs to"" with the selected existing variable ""DONOR BLOOD GROUP,"" you can consider incorporating additional details about the participant\'s study subgroup within the existing donor information. This could involve adding specific categories or codes for postmortem donor, organ donor, or surgical donor within the donor blood group variable to capture the study subgroup information effectively. Additionally, you may need to update the data collection forms or data entry procedures to ensure accurate recording of the study subgroup information within the donor blood group variable.']",
cohort_id,"The study subgroup that the participant belongs to. This indicates whether the participant was a postmortem donor, an organ donor, or a surgical donor.  ",DERIVED DUPLICATE DONOR RECIPIENT (BASED ON DONOR'S STUDY ARM AND RECIPIENT),68680,0.45259643,,
cohort_id,"The study subgroup that the participant belongs to. This indicates whether the participant was a postmortem donor, an organ donor, or a surgical donor.  ","SUBJECT RECEIVED A STUDY TRANSPLANT (0=NO, 1=YES)",226487,0.3455468,,
data_submission_guid,"A Globally Unique IDentifier (GUID) provided by the data submitter, used to identify this subject across multiple projects, commons, etc.",UNIQUE SUBJECT IDENTIFIER,242990,0.9619649,"['Existing Variables:', '1. UNIQUE SUBJECT IDENTIFIER - This variable is used to uniquely identify each subject in the data repository.', '2. UNIQUE SUBJECT ID - Similar to the unique subject identifier, this variable is also used for subject identification.', '3. PUBLIC SUBJECT ID - Another variable used for subject identification, potentially for public access purposes.', '', 'SELECTED: UNIQUE SUBJECT IDENTIFIER', 'ALIGNMENT: To align the new variable ""A Globally Unique IDentifier (GUID)"" with the existing variable ""UNIQUE SUBJECT IDENTIFIER"", ensure that the format and structure of the GUID provided by the data submitter matches the requirements of the unique subject identifier in the data repository. This may involve standardizing the format or ensuring that the GUID is unique and consistent across all projects and datasets. Additionally, consider any privacy or security measures in place for subject identification.']",
data_submission_guid,"A Globally Unique IDentifier (GUID) provided by the data submitter, used to identify this subject across multiple projects, commons, etc.",UNIQUE SUBJECT ID,242989,0.8098782,,
data_submission_guid,"A Globally Unique IDentifier (GUID) provided by the data submitter, used to identify this subject across multiple projects, commons, etc.",PUBLIC SUBJECT ID,189115,0.66235983,,
derived_parent_subject_id,Unique subject identifier associated with parent project; derived from parent accession and submitted subject ID.,UNIQUE SUBJECT IDENTIFIER,242990,0.97622,"['Existing Variables:', '1. UNIQUE SUBJECT IDENTIFIER - This variable is used to uniquely identify each subject in the data repository. It is crucial for linking different datasets and ensuring data integrity.', '2. UNIQUE SUBJECT ID - Similar to the unique subject identifier, this variable serves the same purpose of uniquely identifying subjects in the repository.', '3. SUBJECT ID - Another variable used to identify subjects in the repository, although it may not be unique across different datasets.', '', 'SELECTED: UNIQUE SUBJECT IDENTIFIER', 'ALIGNMENT: To align the new variable with the selected existing variable, ensure that the unique subject identifier associated with the parent project is structured in a consistent format and follows the same conventions as the existing unique subject identifier. This will help maintain data integrity and facilitate data linkage across different datasets.']",
derived_parent_subject_id,Unique subject identifier associated with parent project; derived from parent accession and submitted subject ID.,UNIQUE SUBJECT ID,242989,0.951504,,
derived_parent_subject_id,Unique subject identifier associated with parent project; derived from parent accession and submitted subject ID.,SUBJECT ID,226431,0.78282857,,
derived_topmed_subject_id,Unique subject identifier associated with TOPMed project; derived from TOPMed accession and submitted subject ID.,UNIQUE SUBJECT IDENTIFIER,242990,0.9887988,"['Existing Variables:', '1. UNIQUE SUBJECT IDENTIFIER - This variable is used to uniquely identify each subject in the data repository. It is crucial for linking different data points related to the same individual.', '2. UNIQUE SUBJECT ID - Similar to the unique subject identifier, this variable serves the purpose of uniquely identifying each subject in the dataset.', '3. DEIDENTIFIED DERIVED PATIENT ID - This variable is used to assign a unique identifier to each patient while maintaining their anonymity.', '', 'SELECTED: UNIQUE SUBJECT IDENTIFIER', 'ALIGNMENT: To align the new variable with the selected existing variable, ensure that the unique subject identifier associated with the TOPMed project is structured in a similar format to the existing unique subject identifier in the repository. This will facilitate seamless integration and harmonization of the new data with the existing dataset. Additionally, cross-reference the TOPMed accession and submitted subject ID with the unique subject identifier to maintain consistency and accuracy in data linkage.']",
derived_topmed_subject_id,Unique subject identifier associated with TOPMed project; derived from TOPMed accession and submitted subject ID.,UNIQUE SUBJECT ID,242989,0.97520185,,
derived_topmed_subject_id,Unique subject identifier associated with TOPMed project; derived from TOPMed accession and submitted subject ID.,DEIDENTIFIED DERIVED PATIENT ID,68150,0.7210563,,
eligibility,A verification field of whether the Donor has met the overall eligibility criteria for GTEx collection based on answers to eligibility questions. All Eligibility conditions require confirmation from the donor procurement team (staff team where tissue collection and data abstraction takes place) and must be met in order for donor to eligible.  ,ELIGIBILITY VERIFICATION,81775,0.94957596,"['1. ELIGIBILITY VERIFICATION - This existing variable likely captures general eligibility verification for donors, which may include meeting certain criteria or standards for donation. It is relevant to the new variable as it also pertains to verifying if the donor has met eligibility criteria.', '', '2. DONOR MEETS INCL CRITERIA - This existing variable specifically focuses on whether the donor meets the inclusion criteria for donation. While it is related to eligibility, it may not capture the overall eligibility verification process as comprehensively as the new variable.', '', '3. GD01: D3. DOES DONOR MEET STANDARD BLOOD CENTER CRITERIA - This existing variable seems to specifically address whether the donor meets the standard criteria set by blood centers. While it may involve some eligibility verification, it may not align perfectly with the broader eligibility criteria for the GTEx collection.', '', 'SELECTED: ELIGIBILITY VERIFICATION', 'ALIGNMENT: To align the new variable with the existing variable ""ELIGIBILITY VERIFICATION,"" ensure that the verification field captures all necessary eligibility conditions for the GTEx collection. This may involve confirming eligibility criteria with the donor procurement team and ensuring that all conditions are met for the donor to be considered eligible for donation. Additionally, consider incorporating any specific criteria or standards relevant to the GTEx collection process into the verification process.']",
eligibility,A verification field of whether the Donor has met the overall eligibility criteria for GTEx collection based on answers to eligibility questions. All Eligibility conditions require confirmation from the donor procurement team (staff team where tissue collection and data abstraction takes place) and must be met in order for donor to eligible.  ,DONOR MEETS INCL CRITERIA,75867,0.94122344,,
eligibility,A verification field of whether the Donor has met the overall eligibility criteria for GTEx collection based on answers to eligibility questions. All Eligibility conditions require confirmation from the donor procurement team (staff team where tissue collection and data abstraction takes place) and must be met in order for donor to eligible.  ,GD01: D3. DOES DONOR MEET STANDARD BLOOD CENTER CRITERIA,102932,0.82810634,,
geographic_site,"""Site where the subject was recruted. ARIC_A=field center A representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_B=field center B representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_C=field center C representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_D=field center D representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), CARDIA_1=field center 1 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_2=field center 2 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_3=field center 3 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_4=field center 4 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CHS_BOWMAN.GRAY=clinic at Bowman Gray University (Forsyth County, NC, USA) for CHS (Cardiovascular Health Study), CHS_DAVIS=clinic at Davis University (Sacramento County, CA, USA) for CHS (Cardiovascular Health Study), CHS_HOPKINS=clinic at Johns Hopkins University (Washington County, MD, USA) for CHS (Cardiovascular Health Study), CHS_PITT=clinic at University of Pittsburgh (Pittsburgh, PA, USA) for CHS (Cardiovascular Health Study), COPDGene_C01=clinical center C01 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C02=clinical center C02 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C03=clinical center C03 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C04=clinical center C04 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C05=clinical center C05 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C06=clinical center C06 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C07=clinical center C07 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C08=clinical center C08 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C09=clinical center C09 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C10=clinical center C10 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C11=clinical center C11 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C12=clinical center C12 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C13=clinical center C13 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C14=clinical center C14 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C15=clinical center C15 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C16=clinical center C16 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C17=clinical center C17 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C18=clinical center C18 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C19=clinical center C19 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C20=clinical center C20 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C21=clinical center C21 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), GENOA_MN=recruitment from Rochester, MN, US, GENOA_MS=recruitment from Jackson, MS, US, GOLDN_MN=recruitment center at Minneapolis, MN, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), GOLDN_UT=recruitment center at Salt Lake City, UT, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), HCHS_SOL_Bronx=recruitment center Bronx, NY, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Chicago=recruitment center Chicago, IL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Miami=recruitment center Miami, FL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_SanDiego=recruitment center San Diego, CA, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), JHS_Hinds=recruitment from urban and rural areas of Hinds county, MS, USA for JHS (Jackson Heart Study), JHS_Madison=recruitment from urban and rural areas of Madison county, MS, USA for JHS (Jackson Heart Study), JHS_Rankin=recruitment from urban and rural areas of Rankin county, MS, USA for JHS (Jackson Heart Study), JHS_Unknown=recruitment from unknown county in MS, USA for JHS (Jackson Heart Study), Mayo_VTE_Midwest_US=state of residence (at time of enrollment for Mayo_VTE study) is in the South region of the USA as defined by the Census Bureau, Mayo_VTE_Northeast_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Northeast region of the USA as defined by the Census Bureau, Mayo_VTE_non_US=state of residence (at time of enrollment for Mayo_VTE study) is from a country outside the USA, Mayo_VTE_South_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Midwest region of the USA as defined by the Census Bureau, Mayo_VTE_West_US=state of residence (at time of enrollment for Mayo_VTE study) is in the West region of the USA as defined by the Census Bureau, MESA_COL=field center/baseline clinic at Columbia University, NY, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_JHU=field center/baseline clinic at Johns Hopkins University, MD, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_NWU=field center/baseline clinic at Northwestern University, IL, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UCLA=field center/baseline clinic at University of California, Los Angeles, CA, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UMN=field center/baseline clinic at University of Minnesota, MN, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_WFU=field center/baseline clinic at Wake Forest University, NC, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), SAS_Apia.urban=recruitment census region of Apia Urban Area in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_NW.Upola=recruitment census region of Northwest Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_rest.Upola=recruitment census region including rest of Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_Savaii=recruitment census region of Savaii in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), WHI_Midwest=recruitment from Midwest region of the USA for WHI (Womens Health Initiative), WHI_Northeast=recruitment from Northeast region of the USA for WHI (Womens Health Initiative), WHI_South=recruitment from South region of the USA for WHI (Womens Health Initiative), WHI_West=recruitment from West region of the USA for WHI (Womens Health Initiative)"" (HARMONIZED)",IS PATIENT ADDRESS IN ARIC COMMUNITY SURVEILLANCE CATCHMENT AREA? Q5B,127229,0.34543642,"['1. ARIC SURVEILLANCE EVENT ID (CIR) - This variable identifies the unique event ID associated with the ARIC surveillance data. It is relevant as it helps track and link events within the ARIC study.', '', '2. FRAMINGHAM HEART STUDY PARTICIPANT COHORT IDENTIFIER - This variable identifies the cohort to which a participant belongs in the Framingham Heart Study. It may be relevant for categorizing participants in the new study.', '', ""3. IS PATIENT ADDRESS IN ARIC COMMUNITY SURVEILLANCE CATCHMENT AREA? Q5B - This variable indicates whether a patient's address falls within the catchment area for ARIC community surveillance. While not directly related to the site of recruitment, it provides information on the geographical location of participants."", '', 'SELECTED: ARIC SURVEILLANCE EVENT ID (CIR)', 'ALIGNMENT: To align the new variable ""Site where the subject was recruited"" with the existing variable ""ARIC SURVEILLANCE EVENT ID (CIR),"" you can create a mapping table that links the specific field centers (ARIC_A, ARIC_B, ARIC_C, ARIC_D) to their corresponding event IDs. This mapping will help harmonize the new variable with the existing variable structure in the repository.']",
