"Acronym","Study Name","Background","Conclusions","Conditions","Objectives","Subjects"
"BMT CTN-0402","Blood and Marrow Clinical Trials Network (BMT CTN) A Phase III Randomized, Multicenter Trial Comparing Sirolimus/Tacrolimus With Tacrolimus/Methotrexate as Graft-versus-Host Disease Prophylaxis After HLA-Matched, Related Peripheral Blood Stem Cell Transplantation (0402)","Stem cell transplantation is a standard therapy for leukemia and myelodysplastic disorders. Recipients of human leukocyte antigen (HLA)-matched, related donor (MRD) stem cell transplants are at risk for a number of infections and complications. One of these complications is a condition known as acute graft-versus-host disease (GVHD). Recipients of HLA-MRD stem cell transplants for the treatment of myelodysplastic disorders and leukemia experience a 35% incidence of GVHD. Furthermore, GVHD contributes significantly to 1-year early treatment-related mortality (TRM) estimates of approximately 20%.

The standard prophylaxis regimen for GVHD is a calcineurin inhibitor combined with methotrexate. Calcineurin inhibitors block calcineurin, a protein phosphatase that catalyzes some of the intracellular processes associated with T-lymphocyte activation. Inhibition is achieved by binding to immunophilins. The result is reduced production of interleukin-2 and reduced proliferation of T-cells. Methotrexate, an antineoplastic antimetabolite, has immunosuppressant properties that prevents the synthesis of tetrahydrofolate. Tetrahydrofolate is necessary for synthesis of thymidylate, an essential component of DNA. Of particular clinical concern is the theory that the injury caused by methotrexate to tissues could play a contributory role in initiation of the cytokine cascade associated with GVHD.

The standard prophylaxis regimen for GVHD was established in the mid-1980s. Minor alterations to the standard regimen have shown limited effect on TRM outcomes in spite of the improvements that have been made to allogeneic hematopoietic cell transplantation (HCT) outcomes. Sirolimus, a rapamycin inhibitor, has been suggested as an alternative for methotrexate. Previous studies have suggested that sirolimus use results in decreased incidence of acute GVHD and treatment-related toxicity after HLA-MRD and unrelated donor transplantation, at the expense of higher rates of endothelial injury syndromes. Sirolimus has additional immunomodulatory properties that include effects on antigen-presenting cells, the thymus, and preservation of regulatory T-cell subsets after transplantation. The purpose of this study was to determine if sirolimus, in place of methotrexate, would produce improved outcomes in GVHD and TRM.","Participants who received Tac/Sir engrafted significantly earlier and had significantly less severe oropharyngeal mucositis after transplantation; however, no difference was observed in the primary end point of GVHD-free survival at 114 days post randomization between participants treated with Tac/Sir and Tac/Mtx.

Blood. 2014 Aug 21; 124(8): 1372–1377.","Leukemia, Leukemia, Myelocytic, Acute, Myelodysplastic Syndromes, Leukemia, Lymphocytic, Acute, Leukemia, Myeloid, Chronic","The primary objective was to determine if the combination of tacrolimus and sirolimus (Tac/Sir) was more effective than tacrolimus and methotrexate (Tac/Mtx) in preventing acute graft-versus-host disease and early mortality after allogeneic related donor hematopoietic cell transplantation.","Eligible participants were 2 to 60 years of age, of either gender, and were undergoing transplantation for one of the following conditions: acute leukemia in remission, myelodysplastic disorder, or chronic myeloid leukemia in chronic or accelerated phase. All participants were required to have a 6/6 Class I HLA-A and B and molecular Class II DRB1 matched sibling donor medically able and willing to donate peripheral blood stem cells that also met institutional criteria for stem cell donation.

Participants were excluded from participating in the trial for the following: prior allogenic or autologous transplant, HIV or another uncontrolled active infection, pregnant or breast-feeding, known allergy to sirolimus, requiring voriconazole at time of study entry, currently receiving another investigational drug (unless cleared by protocol officer or chair), or participants with a history of cancer.

Participants were excluded from continuation for the following laboratory criteria if measured within 4 weeks of study entry: measured creatinine clearance <50mL/min/1.72m2 ; direct bilirubin, ALT, or AST greater than two times the upper limit of normal; cholesterol or triglycerides level >500mg/dL; forced vital capacity (FVC) or forced expiratory volume (FEV1) <60% predicted value, corrected for Hemoglobin (adults only); overt hypoxemia in children measured by <92% SaO2; cardiac ejection fraction >45% in adults or <26% children.

A total of 304 participants were enrolled in the study. 151 participants were randomized to the tacrolimus/sirolimus (Tac/Sir) treatment, which 149 completed and 2 did not undergo transplantation. 153 participants were randomized to the tacrolimus/methotrexate (Tac/Mtx) treatment, which 152 completed and 1 did not undergo transplantation."
"PACTG","Anti-HIV Immunoglobulin in Prevention of Maternal-Fetal HIV Transmission: Pediatric AIDS Clinical Trials Group protocol 185 (PACTG)","Several studies have identified maternal, obstetrical, and infant characteristics associated with perinatal transmission of human immunodeficiency virus type 1 (HIV-1). However, these studies were conducted primarily before the widespread use of zidovudine for the prevention of perinatal transmission. Few studies have identified risk factors for transmission among HIV-1–infected women and infants who are receiving zidovudine, yet such information is critical to the development of new interventions to reduce the risk of perinatal transmission further.","The unexpectedly low transmission confirmed that zidovudine prophylaxis is highly effective, even for women with advanced HIV disease and prior zidovudine therapy, although it limited the study's ability to address whether passive immunization diminishes perinatal transmission (J Infect Dis 1999: 179: 567-75). There were no significant differences between the group that received HIV-1 hyperimmune globulin and the group that received intravenous immune globulin with respect to base-line maternal, obstetrical, and infant characteristics or rates of HIV-1 transmission. Since the rates of perinatal HIV-1 transmission and the clinical and laboratory characteristics were similar in the two groups, data for all women were combined in all subsequent analyses of risk factors. The maternal plasma HIV-1 RNA level was the best predictor of the risk of perinatal transmission of HIV-1. Antiretroviral therapy that reduces the HIV-1 RNA level to below 500 copies per milliliter appears to minimize the risk of perinatal transmission as well as improve the health of the women (NEJM 1999; 341:385-393).","Acquired Immunodeficiency Syndrome, Disease Transmission, Vertical, HIV Infections","To determine if HIV hyperimmune globulin (HIVIG) given to HIV-positive pregnant women during the second and third trimester of pregnancy reduced the likelihood of maternal-fetal HIV transmission.","A total of 501 HIV-1–infected women who were 20 to 30 weeks pregnant, who had CD4+ lymphocyte counts of no more than 500 per cubic millimeter, and who were receiving zidovudine as prescribed by their physicians. Of these, 4 were lost to follow-up before delivery, resulting in a study population of 497 women. There were 505 live-born infants, including 9 sets of twins and 487 singletons, and 1 stillborn infant."
"PACS","Pulmonary Complications of HIV Infection Study (PACS)","Pulmonary infections as a group are the most commonly recognized life threatening disorders in patients with AIDS. Although Pneumocystis carinii was the predominant pulmonary pathogen found in these patients, other organisms were clearly of importance as well, not with early years of the HIV epidemic only in patients with AIDS and ARC but in individuals with asymptomatic HIV infection.

In the mid-1980s, physicians who examined many AIDS patients had the impression that a shift was occurring in the types and incidence of pulmonary complications associated with HIV infection. For example, there appeared to be an increased incidence of serious infections caused by pyogenic bacteria and pulmonary and extrapulmonary infection with M. tuberculosis had been noted with increased frequency. Furthermore, lymphoid interstitial pneumonitis (LIP), which is diagnostic of AIDS in children under 13 years old who are HIV antibody positive, was diagnosed with increased frequency in adults. Nonspecific interstitial pneumonitis also appeared to be on the rise. Legionella pneumonia, in contrast to its increased incidence during 1981-83, was seldom encountered by the mid-1980’s.. However, apart from the increased incidence of tuberculosis, a reportable disease, these other shifts in the incidence of pulmonary complications had not been verified.","Pulmonary disease is a common in HIV-infected patients and impacts progression of the HIV, respiratory function and survival.   PACS demonstrated the high incidence of tuberculosis associated with HIV-infection and delineated risk factors for TB.   It established that bacterial pneumonia is more frequent in HIV-positive persons than in seronegative controls, and that the risk is highest among those with CD4 lymphocyte counts below 200 per cubic millimeter and among injection-drug users.  In addition, PACS showed that both P. carinii pneumonia and bacterial pneumonia are associated with a significantly worse subsequent HIV disease course and that both Pneumocystis carinii pneumonia and bacterial pneumonia result in expiratory airflow reductions that persist after the acute infection resolves. The clinical implications of this are still being explored.  PACS also showed that HIV-infected patients admitted to intensive care units and on mechanical ventilation for PCP and other pulmonary disorders had a high mortality rate, but that mechanical ventilation for non-pulmonary disorders, and admission to the ICU for non-pulmonary diagnoses was associated with a more favorable outcome.","Acquired Immunodeficiency Syndrome, AIDS-Related Complex, Lung Diseases, HIV Infections, Pneumocystis Carinii Infections","The objective of PACS was to evaluate the types, incidence, course, and outcome of pulmonary disorders in newly diagnosed cases of Acquired Immune Deficiency Syndrome (AIDS), newly diagnosed cases of AIDS-related complex (ARC) and newly diagnosed asymptomatic human immunodeficiency virus (HIV) infection.  Knowledge of the incidence and natural history of pulmonary complications associated with HIV infection was important for establishing diagnostic strategies in the development of new treatment regimens and new approaches for clinical research.","Subjects were recruited from persons who were receiving hospital services, were involved in other cohort studies, homosexual community groups, HIV testing sites, private physicians' practices, methadone treatment programs, support groups; and from unsolicited volunteers.  The study participants included HIV-infected homosexual or bisexual men, male and female injection drug users, and female sexual partners of HIV-infected men. Seronegative injection drug users and homosexual or bisexual men were enrolled as controls."
"H1N1","Novel Influenza A Surveillance Registry (H1N1)","There are no pertinent animal studies of H1N1 influenza. Human studies are limited to case reports or case series which report on relatively limited number of patients. These reports suggest that although severe disease requiring critical care is rare among patients with H1N1 infection, the patients who do require ICU care have a rapidly progressive course with high disease severity. Unlike typical influenza, where the extremes of age (i.e. elderly and very young) and those with underlying cardiopulmonary comorbidities are at increased risk of developing severe and potentially fatal infections, young otherwise healthy patients (including children of all ages), obese patients, and pregnant females appear to be at an increased risk for severe disease from the novel influenza A (H1N1) virus.","","Novel Influenza A, H1N1, Influenza","The purpose of this prospective surveillance registry was to characterize the demographics, clinical features, outcomes, and resource utilization of patients with H1N1 influenza infection who require intensive care.","The study data consists of 892 adult subjects and 838 pediatric subjects who were admitted to an intensive care unit at a participating site with confirmed or suspected Novel H1N1 Influenza infection.  Subjects with influenza-like illness due to non-influenza disease and negative testing for influenza were excluded."
"GenTAC","National Registry of Genetically Triggered Thoracic Aortic Aneurysms and Cardiovascular Conditions (GenTAC)","Thoracic aortic aneurysms (TAAs) predispose individuals to life threatening aortic complications, including aortic dissection and rupture. The treatment of complications arising from TAAs is complex, with high rates of morbidity, mortality, and surgical procedures. TAAs are associated with loss of vascular smooth muscle cells and degeneration of extracellular matrix in the aortic wall. This degeneration may be caused by hypertension and inflammation, particularly in elderly individuals. Genetic mutations are the main cause of TAAs in many young or middle-aged individuals. Genetic disorders, such as Marfan syndrome, Loeys-Dietz syndrome, and vascular Ehlers-Danlos syndrome, have a high risk for TAA, and up to 20% of individuals with TAAs or dissection have a family history of TAAs without being affected by a known syndrome or known genetic mutation. While diagnostic and treatment advances have dramatically improved care for patients with genetically induced TAAs, many questions remain about how best to identify and treat these disorders. Thus, GenTAC was developed as a longitudinal registry for patients affected by genetically induced thoracic aortic conditions in order to facilitate ongoing and future investigations to improve the diagnosis and clinical management of patients with genetically induced TAAs.  Information gained from studying the genetically induced TAAs is expected to benefit the clinical management of non-genetic TAAs, as well.","GenTAC established a vast biospecimen inventory and clinical database from over 3500 participants that is available to researchers with the ultimate goal of advancing the diagnosis and management of genetically induced thoracic aortic aneurysms and other cardiovascular complications. Some of the publications resulting from analysis of the GenTAC data and biospecimens can be found at https://www.nhlbi.nih.gov/research/resources/gentac/research.","Aortic Aneurysm, Thoracic","The overall objective of GenTAC was to establish a registry of patients with genetically induced thoracic aortic aneurysms and related cardiovascular conditions, and collect associated medical data, as well as blood and tissue samples and make them available to investigators to advance research in diagnosis and management of genetically induced thoracic aortic aneurysms.","Eligible participants must have one of the following conditions: Marfan syndrome; Turner syndrome; Ehlers-Danlos syndrome; Loeys-Dietz syndrome; Shprintzen-Goldberg syndrome; FBN1, TGFBR1, TGFBR2, ACTA2 or MYH11 genetic mutation; bicuspid aortic valve; Familial Thoracic Aortic Aneurysm and Dissections; other thoracic aortic aneurysms and dissections (not due to trauma) in patients 50 years of age or less; or other congenital heart disease. Over 3,500 participants were enrolled."
"REDS II-MS","Retrovirus Epidemiology Donor Study-II (REDS II) Molecular Surveillance (MS)","Genetic variations of human immunodeficiency virus (HIV), hepatitis C virus (HCV), and hepatitis B virus (HBV) can affect diagnostic assays and therapeutic interventions. Recent changes in prevalence of subtypes/genotypes and drug/immune-escape variants were characterized by comparing recently infected vs. more remotely infected blood donors.","Viral genetic variant distribution in blood donors was similar to that seen in high-risk US populations. Blood-borne viruses detected through large-scale routine screening of blood donors can complement molecular surveillance studies of highly exposed populations. (Delwart et. al.  2012)","Hepacivirus, Acquired Immunodeficiency Syndrome, West Nile Virus, Blood Donors, Blood Transfusion, Hepatitis B, Hepatitis, Viral, Human, Retroviridae Infections, HIV-1, HIV-2, HIV Infections, HTLV-I, HTLV-II","The objective of the study was to conduct a genetic analysis of incident and prevalent strains of HIV, HCV and HBV by testing blood specimens from HIV, HCV or HBV positive blood donors who gave blood at REDS-II centers, as well as at UBS, NYBC and ARC blood centers between 2006 and 2009.","This study included qualifying donations from 1 January 2006 through 31 December 31 2009 from 3 Retrovirus Epidemiology Donor Study-II (REDS-II) blood centers (Blood Centers of the Pacific, Blood Center of Wisconsin, and Hoxworth Blood Center/University of Cincinnati), all American Red Cross Blood Services regions, United Blood Services regions and the New York Blood Center. Together, these centers account for approximately 70% of the US blood supply."
"MASM","New Data Analysis Methods for Actigraphy in Sleep Medicine (MASM)","An Actical™ is a watch-like device attached to the wrist that uses an accelerometer to measure movement nearly continuously over several days.  Actigraphy data is recorded densely, such as every minute or every 15 seconds.  The general approach to analysis of this activity data is to reduce the time series of measurements to summary statistics such as sleep/wake ratios, sleep time, wake after sleep onset, and ratios of nighttime activity to daytime or total activity.  While summary measures allow for hypothesis testing using classic statistical methods, large amounts of information are lost and problems may arise from masking the circadian patterns.  Novel statistical methods are needed to analyze this complex data in a more comprehensive manner.","Publicly available functional data analysis tools utilizing the r package were developed to analyze the activity data.  Early analyses have shown that patients with high apnea have statistically lower activity patterns during the day, and BMI did not impact the circadian patterns.  The use of functional data analysis has the potential to reposition analysis of actigraphy data from general sleep assessment to circadian activity rhythms.  (Journal  of Circadian Rhythms, 2011 9:11)","Insomnia, Obstructive Sleep Apnea, Restless Leg Syndrome","Define an object oriented data model for large activity datasets and patient level data, and apply existing and new advanced statistical and visualization methods for activity data.","585 non-pregnant adult patients recruited from the clinic at the Washington University in St. Louis Sleep Medicine Center.  Clinic patients with a suspected diagnosis of obstructive sleep apnea (OSA), insomnia, or restless legs syndrome (RLS) were invited to participate.  Clinic patients working an evening or overnight shift were excluded.  Participants wore the actical device on the non-dominant wrist for a period of 7 days.  Activity measurements were collected on 420 participants with a repeated series of measurements on 76 participants 2 months to 1 year later."
"ACRN-BASALT/TALC","Asthma Clinical Research Network Trial (ACRN) - Best Adjustment Strategy for Asthma in Long Term (BASALT) and Tiotropium Bromide as an Alternative to Increased Inhaled Corticosteroid in Patients Inadequately Controlled on a Lower Dose of Inhaled Corticosteroid (TALC)","<b>BASALT</b>:
No consensus exists for adjusting inhaled corticosteroid therapy in patients with asthma. Approaches include adjustment at outpatient visits guided by physician assessment of asthma control (symptoms, rescue therapy, pulmonary function), based on exhaled nitric oxide, or on a day-to-day basis guided by symptoms.

<b>TALC</b>:
Long-acting beta-agonist (LABA) therapy improves symptoms in patients whose asthma is poorly controlled by an inhaled glucocorticoid alone. Alternative treatments for adults with uncontrolled asthma are needed.","<b>BASALT</b>:
Among adults with mild to moderate persistent asthma controlled with low-dose inhaled corticosteroid therapy, the use of either biomarker-based or symptom-based adjustment of inhaled corticosteroids was not statistically superior to physician assessment–based adjustment of inhaled corticosteroids in time to treatment failure.

<b>TALC</b>:
When added to an inhaled glucocorticoid, tiotropium improved symptoms and lung function in patients with inadequately controlled asthma. Its effects appeared to be equivalent to those with the addition of salmeterol.","Asthma","<b>BASALT</b>:
To determine if adjustment of inhaled corticosteroid therapy based on exhaled nitric oxide or day-to-day symptoms is superior to guideline-informed, physician assessment–based adjustment in preventing treatment failure in adults with mild to moderate asthma.

<b>TALC</b>:
This study examined the effectiveness of the medication tiotropium bromide combined with a low dose of inhaled corticosteroid (ICS) at maintaining asthma control in people with moderately severe asthma.","<b>BASALT</b>:
342 adults with mild to moderate asthma controlled by low-dose inhaled corticosteroid therapy.

<b>TALC</b>:
210 patients with asthma inadequately controlled by a low dose of an inhaled glucocorticoid."
"OAT","Occluded Artery Trial (OAT)","The benefits of establishing early coronary perfusion in acute myocardial infarction (MI) have been unequivocally established. However, often due to late presentation, a substantial number of acute MI patients are ineligible for reperfusion therapy by exceeding the time for which acute reperfusion therapy provides a documented benefit.  The best strategy of care for those with persistent total occlusion of the infarct-related artery, identified after the currently accepted period for administration of reperfusion, was therefore unclear.  Late PCI may improve outcomes over medical management alone, by reducing left ventricular remodeling with preservation of left ventricular function, improving electrical stability, potentially decreasing ventricular arrhythmia, or providing collateral blood flow to coronary territories at risk of future occlusion.","PCI did not reduce the occurrence of death, reinfarction, or heart failure, and there was a trend toward excess reinfarction during 4 years of follow-up. Extended follow-up continued to show no reduction in clinical events after PCI (NEJM, 2006; 355(23):2395-407, Circulation, 2011; 124(21):2320-8)","Myocardial Infarction, Heart Diseases, Heart Failure, Heart Failure, Congestive, Cardiovascular Diseases","To test the hypothesis that opening an occluded infarct artery 3-28 days after an acute MI (day 1= date of index MI) in stable patients who are at increased long-term risk (ejection fraction <50% or proximal occlusion of a large coronary artery) will reduce the composite endpoint of mortality, recurrent MI, and New York Heart Association (NYHA) Class IV congestive heart failure (CHF) over an average three-year follow-up.","2166 stable patients who had total occlusion of the infarct-related artery 3 to 28 days after myocardial infarction and who met a high-risk criterion (an ejection fraction of <50% or proximal occlusion). Of these patients, 1082 were assigned to routine PCI and stenting with optimal medical therapy, and 1084 were assigned to optimal medical therapy alone.  An additional 35 patients were enrolled in 2006 as part of the OAT-NUC (nuclear ancillary study)."
"WHI (non-BioLINCC)","Women's Health Initiative (WHI)","The Women's Health Initiative (WHI) is a long-term national health study that has focused on strategies for preventing heart disease, breast and colorectal cancer, and osteoporotic fractures in postmenopausal women. These chronic diseases are the major causes of death, disability, and frailty in older women of all races and socioeconomic backgrounds.
 

Background (Background information about the study):
The WHI had two major parts: a randomized Clinical Trial and an Observational Study. The randomized controlled Clinical Trial (CT) enrolled 68,132 postmenopausal women between the ages of 50-79 into trials testing three prevention strategies. If eligible, women could choose to enroll in one, two, or all three of the trial components. The components are:

• Hormone Therapy Trials (HT): This component examined the effects of combined hormones or estrogen alone on the prevention of coronary heart disease and osteoporotic fractures, and associated risk for breast cancer. Women participating in this component took hormone pills or a placebo (inactive pill) until the Estrogen plus Progestin and Estrogen Alone trials were stopped early in July 2002 and March 2004, respectively. All HT participants continued to be followed without intervention until close-out.

• Dietary Modification Trial (DM): The Dietary Modification component evaluated the effect of a low-fat and high fruit, vegetable and grain diet on the prevention of breast and colorectal cancers and coronary heart disease. Study participants followed either their usual eating pattern or a low-fat dietary pattern.

• Calcium/Vitamin D Trial (CaD): This component began 1 to 2 years after a woman joined one or both of the other clinical trial components. It evaluated the effect of calcium and vitamin D supplementation on the prevention of osteoporotic fractures and colorectal cancer. Women in this component took calcium and vitamin D pills or a placebo.

The Observational Study (OS) is examining the relationship between lifestyle, health and risk factors and specific disease outcomes. This component involves tracking the medical history and health habits of 93,676 women. Recruitment for the observational study was completed in 1998 and participants were followed for 8 to 12 years.
 

WHI Extension Studies continued follow-up of consenting participants, the first consenting participants from each of the original WHI study components for an additional five years (2005-2010) of follow-up, and the second consenting participants from the first Extension Study for an additional five years (2010-2015). Annual updates on health outcomes are collected by mail from the participants enrolled in each Extension Study. See WHI Timeline for WHI and the Extension Studies.","","Heart Diseases, Myocardial Ischemia, Osteoporosis, Postmenopause, Bone Diseases, Breast Neoplasms, Cardiovascular Diseases, Colonic Neoplasms, Coronary Disease","The Women's Health Initiative (WHI) is a long-term national health study that has focused on strategies for preventing heart disease, breast and colorectal cancer, and osteoporotic fractures in postmenopausal women. These chronic diseases are the major causes of death, disability, and frailty in older women of all races and socioeconomic backgrounds.","Subjects were postmenopausal women aged 50-79 with minimal exclusion criteria."
"ACRN-MIA","Asthma Clinical Research Network Trial (ACRN) - Macrolides in Asthma (MIA)","Research has shown that in some individuals, respiratory airway infections may play a role in the onset and severity of asthma. Inhaled corticosteroids are commonly used to treat asthma; however, they do not effectively control symptoms for everyone. Clarithromycin, an antibiotic medication used to treat bacterial infections, may be an effective asthma treatment for individuals who do not respond well to inhaled corticosteroids.","Adding clarithromycin to fluticasone in adults with mild-to-moderate persistent asthma that was suboptimally-controlled by low-dose ICS alone did not further improve asthma control. Although there was an improvement in airway hyperresponsiveness with clarithromycin, this benefit was not accompanied by improvements in other secondary outcomes.  (J Allergy Clin Immunol, 2010; 126(4): 747–753)","Asthma","To test the hypothesis that clarithromycin would improve asthma control in individuals with mild-to-moderate persistent asthma that was not well-controlled despite treatment with low-dose inhaled corticosteroids (ICS).","Participants were eligible if they had a clinical diagnosis of asthma and either bronchodilator responsiveness, defined as an increase of 12% or greater in the forced expiratory volume in one second (FEV1) 15 minutes after the administration of two puffs of albuterol, or airway hyperresponsiveness, measured by the PC20 FEV1 to methacholine (the concentration of methacholine inducing a 20% fall in FEV1) of ≤ 16 mg/mL. Participants also were required to demonstrate suboptimally-controlled asthma at the time of enrollment, as defined by threshold scores on the Juniper Asthma Control Questionnaire (ACQ) of ≥ 1.5 in those not receiving inhaled corticosteroid (ICS)-containing treatments. Participants receiving ICS-containing treatments could be enrolled with an ACQ score ≥ 1.25 at enrollment or if in the opinion of the investigator the ACQ score was likely to be ≥ 1.25 at the end of the run-in period.

Ninety-two participants were randomized. Twelve (13%) subjects demonstrated PCR evidence of M. pneumoniae or C. pneumoniae in endobronchial biopsies; 80 were PCR negative for both organisms."
"ROC-HS/TBI","Resuscitation Outcomes Consortium (ROC) Hypertonic Saline Trial Shock Study (HS) and Traumatic Brain Injury Study (TBI)","Trauma is the leading cause of death among North Americans between the ages of 1 and 44 years. The majority of these deaths result from hypovolemic shock or severe brain injury. Patients in hypovolemic shock develop a state of systemic tissue ischemia then a subsequent reperfusion injury at the time of fluid resuscitation. Conventional resuscitation involves the IV administration of a large volume of isotonic or slightly hypotonic (lactated ringers, LR) solutions beginning in the prehospital setting. Although not conclusive, prior studies have suggested that alternative resuscitation with hypertonic saline (7.5%) solutions may reduce morbidity or mortality in these patients. Furthermore, hypertonic fluids may have specific advantages in the brain-injured patient, as they may aid in the rapid restoration of cerebral perfusion and prevent extravascular fluid sequestration, thereby limiting secondary brain injury. In addition, recent studies have demonstrated that hypertonicity significantly alters the activation of inflammatory cells, an effect that may reduce subsequent organ injury from ischemia-reperfusion and decrease nosocomial infection. The majority of previous clinical trials have focused on the use of HSD. The potential for 7.5% saline alone (HS) to have similar effects has not been well studied. Removal of the dextran component may enhance the anti-inflammatory effects of this solution, which could improve secondary outcomes such as acute respiratory distress syndrome (ARDS), multiple organ failure syndrome (MOFS) and rates of nosocomial infections.","Shock:
Among injured patients with hypovolemic shock, initial resuscitation fluid treatment with either HS or HSD compared with NS, did not result in superior 28-day survival. However, interpretation of these findings is limited by the early stopping of the trial (Ann Surg. 2011; 253(3):431-41).  

TBI:
Among patients with severe TBI not in hypovolemic shock, initial resuscitation with either hypertonic saline or hypertonic saline/dextran, compared with normal saline, did not result in superior 6-month neurologic outcome or survival (JAMA. 2010; 304(13):1455-64).","Shock, Traumatic, Brain Injuries, Traumatic ","Shock:
To determine if prehospital administration of 7.5% hypertonic saline /6% Dextran-70 (HSD) OR 7.5% hypertonic saline alone (HS), compared to current standard therapy with normal saline (NS), as an initial resuscitation fluid, affects survival following traumatic injury with hypovolemic shock.

TBI:
To determine whether out-of-hospital administration of hypertonic fluids improves neurologic outcome following severe TBI.","Shock:
Injured patients, age ≥ 15 years with hypovolemic shock (systolic blood pressure ≤ 70 mm Hg or systolic blood pressure 71-90 mm Hg with heart rate ≥ 108 beats per minute). A total of 893 patients were randomized (853  enrolled), and among those enrolled 62% were with blunt trauma, 38% with penetrating.

TBI:
Patients 15 years or older with blunt trauma and a prehospital Glasgow Coma Scale score of 8 or less who did not meet criteria for hypovolemic shock.  1331 were randomized. Among the 1282 patients enrolled, 6-month outcomes data were available for 1087 (85%). Baseline characteristics of the groups were equivalent."
"BABY HUG","Hydroxyurea to Prevent Organ Damage in Children with Sickle Cell Anemia (BABY HUG) Phase III Clinical Trial and Follow-Up Observational Studies I and II","Sickle cell anemia is associated with substantial morbidity from acute complications and organ dysfunction beginning in the first year of life. In 1995, the Multicenter Study of Hydroxyurea (MSH) demonstrated that, in adults, hydroxyurea is effective in decreasing the frequency of painful crises, hospitalizations for crises, acute chest syndrome, and blood transfusions by 50%. The phase I/II study of hydroxyurea in children (HUG KIDS) demonstrated that children have a response to hydroxyurea similar to that seen in adults in terms of increasing fetal hemoglobin levels and total hemoglobin, and decreasing complications associated with sickle cell anemia. In addition, this study demonstrated that the drug does not adversely affect growth and development between the ages of 5 and 15. A pilot study of hydroxyurea (HUSOFT) given to children between the ages of 6 months and 24 months demonstrated that the drug was well tolerated and that the fetal hemoglobin levels rose and remained elevated compared to baseline with continued hydroxyurea administration.

A Special Emphasis Panel (SEP) met on April 12, 1996 to review the results of the MSH trial and the progress to date of the HUG KIDS study. The SEP recommended that NHLBI undertake the BABY HUG trial.

The BABY HUG Randomized Controlled Trial concluded that hydroxyurea treatment in very young children seemed to have an acceptable safety profile and to reduce complications of sickle cell anemia. However, more data were needed on the long-term safety of hydroxyurea use in very young children. As a result, follow-up studies were initiated. The Follow-Up Study II provided longer follow-up than Follow-Up Study I, and included more assessment types than Follow-Up Study I.","On the basis of the safety and efficacy data from this trial, hydroxyurea can be considered for all very young children with sickle cell anemia (Lancet. 2011; 377(9778):1663-72).

As of the time of posting this study, the study investigators have not yet published conclusions from the Follow-Up Study I and II data.","Anemia, Sickle Cell, Hematologic Diseases","The purpose of the Randomized Controlled Trial was to determine if hydroxyurea can safely prevent early end organ damage in very young children with sickle cell anemia.

The purpose of the BABY HUG Follow-up Study I was to provide structured follow-up of the children enrolled in the BABY HUG Randomized Controlled Trial, in order to characterize the long-term toxicities and unexpected risks (if any) associated with treatment with hydroxyurea at an early age.

The objective of Follow-Up Study II was to obtain additional data about the long-term safety and efficacy of hydroxyurea use in children with Sickle Cell Anemia through at least the first decade of life.","193 participants aged 9–18 months were randomized at 13 trial centers in the United States. (A fourteenth center was opened for enrollment but did not randomize any participants.) Eligible participants had HbSS or HbSβ⁰ thalassaemia, and were enrolled irrespective of clinical severity. All participants received standard age-appropriate care for sickle cell anemia, including penicillin prophylaxis, pneumococcal immunization, and parental education. Participants were excluded for transfusion within 2 months; malignancy; height, weight, or head circumference less than the fifth percentile; severe developmental delay; stroke with neurological deficit; surgical splenectomy; probable or known diagnosis of Hemoglobin S-Hereditary Persistence of Fetal Hemoglobin; known hemoglobin S-beta plus thalassemia (hemoglobin A present); previous or current treatment with HU or another anti-sickling drug; or abnormal transcranial Doppler ultrasound (TCD) velocity.

Participants who completed at least 18 months of follow-up in the BABY HUG Randomized Controlled Trial were eligible to participate in Follow-Up Study I. There were 179 such participants. Of these, 163 consented to Follow-Up Study I; 127 agreed to active follow-up, and 36 agreed to passive follow-up. (See design section for descriptions of active and passive follow-up.)

Participants who completed at least 24 months of follow-up in Follow-Up Study I, and had not received stem cell transplant therapy, were eligible to participate in Follow-Up Study II. There were 156 such subjects. Of these, 150 consented to participate in Follow-Up Study II; 130 agreed to active follow-up (one of whom later switched to passive follow-up), and 20 agreed to passive follow-up (one of whom later switched to active follow-up). (See design section below for descriptions of active and passive follow-up.)"
